feature,lag_weeks,pearson_r,spearman_rho
precip_sum_mm,0,-0.0014071090612481267,0.1412224157571237
precip_sum_mm,1,-0.011604570398459933,0.13664720505047914
precip_sum_mm,2,-0.029159879788375153,0.12690361845499135
precip_sum_mm,3,-0.03428436503121832,0.12651623906396844
precip_sum_mm,4,-0.03050104759076486,0.1308867346990581
precip_sum_mm,5,-0.024315820368519956,0.09671980241589669
precip_sum_mm,6,-0.021860059162541537,0.08745266707927565
precip_sum_mm,7,-0.018853836887891252,0.056550307622008605
precip_sum_mm,8,-0.01284305751430749,0.047243096352078476
precip_sum_mm,9,-0.01267699392030984,0.028582395772265765
precip_sum_mm,10,0.005690352084785801,0.012271045552594534
precip_sum_mm,11,-0.009045993663180455,-0.017433379529645986
precip_sum_mm,12,-0.015946742570728645,-0.024795990208223376
temperature_c_mean,0,0.03249082170310276,-0.0036460917819330116
temperature_c_mean,1,0.034263641667918635,0.024976144657276923
temperature_c_mean,2,0.04756321067860661,0.034141117683787706
temperature_c_mean,3,0.05398231761475224,0.06137686665830334
temperature_c_mean,4,0.060218420150962404,0.09488493113584001
temperature_c_mean,5,0.07856212811068938,0.10760015864750055
temperature_c_mean,6,0.08065780007820873,0.13581759063894008
temperature_c_mean,7,0.09225121836098835,0.16233490584165822
temperature_c_mean,8,0.10309240067446622,0.18635769618448988
temperature_c_mean,9,0.10699852490423734,0.19993041116293533
temperature_c_mean,10,0.11712347649164868,0.19896320131838827
temperature_c_mean,11,0.1372396107110645,0.22091639950149633
temperature_c_mean,12,0.13951036463810962,0.21818709919833376
relative_humidity_pct_mean,0,0.07144171006991962,0.28389426697208925
relative_humidity_pct_mean,1,0.06287085020404411,0.27733330370986786
relative_humidity_pct_mean,2,0.03687231474595558,0.271392935188452
relative_humidity_pct_mean,3,0.025235546045219676,0.25100681921724133
relative_humidity_pct_mean,4,0.019336531642000995,0.2312526188735602
relative_humidity_pct_mean,5,0.00544077618386588,0.20723339396081833
relative_humidity_pct_mean,6,0.014074303282785923,0.18761648777338774
relative_humidity_pct_mean,7,0.011885099426834477,0.14468497175211792
relative_humidity_pct_mean,8,0.0031928872075735583,0.10327388503664525
relative_humidity_pct_mean,9,0.008714979271300488,0.07414592502874075
relative_humidity_pct_mean,10,0.007107106046984047,0.05620104109180756
relative_humidity_pct_mean,11,-0.011559938641034415,0.01332570644046174
relative_humidity_pct_mean,12,-0.00963455456568467,-0.013304083081251326
specific_humidity_kgkg_mean,0,0.11331653567996494,0.33982643615813907
specific_humidity_kgkg_mean,1,0.10428329115612239,0.35040023219266514
specific_humidity_kgkg_mean,2,0.08652774788750492,0.34320269695061845
specific_humidity_kgkg_mean,3,0.07818760073856626,0.34242637061070613
specific_humidity_kgkg_mean,4,0.07660125023227078,0.3423309831400609
specific_humidity_kgkg_mean,5,0.07733319713644055,0.32807040235844376
specific_humidity_kgkg_mean,6,0.08802993613306326,0.3338534625647122
specific_humidity_kgkg_mean,7,0.0954919313821042,0.30505691072840596
specific_humidity_kgkg_mean,8,0.09569539566696407,0.28628627614807967
specific_humidity_kgkg_mean,9,0.10465470270101929,0.2618867246398223
specific_humidity_kgkg_mean,10,0.11162840016518802,0.2454312980042355
specific_humidity_kgkg_mean,11,0.10528334149828511,0.22572271455497708
specific_humidity_kgkg_mean,12,0.10881495415920381,0.20164247266106972
wind_speed_ms_mean,0,0.052106024299381645,-0.06732926338700651
wind_speed_ms_mean,1,0.06712689272048977,-0.04162928259455917
wind_speed_ms_mean,2,0.10812138467914853,-0.04735665761870682
wind_speed_ms_mean,3,0.1382649493494033,-0.03680256658821682
wind_speed_ms_mean,4,0.14546109461382273,-0.023296041626233766
wind_speed_ms_mean,5,0.17994371262595482,-0.0018606144473392126
wind_speed_ms_mean,6,0.16990207191960843,0.0020407418564933094
wind_speed_ms_mean,7,0.19612676945988955,0.03931282124251977
wind_speed_ms_mean,8,0.21420621445218022,0.05417494945123743
wind_speed_ms_mean,9,0.1990245108775098,0.08471867491958647
wind_speed_ms_mean,10,0.19465821218238807,0.08367952742034257
wind_speed_ms_mean,11,0.20181679009547068,0.12251772384509708
wind_speed_ms_mean,12,0.20160415298260076,0.1344026897379137
surface_pressure_hpa_mean,0,-0.16739138336239548,-0.27693905892639203
surface_pressure_hpa_mean,1,-0.1711534354232543,-0.3029390549691564
surface_pressure_hpa_mean,2,-0.18780979043336626,-0.3214550159749582
surface_pressure_hpa_mean,3,-0.1986463353487689,-0.3434103195324642
surface_pressure_hpa_mean,4,-0.20403052256520424,-0.3620696519902311
surface_pressure_hpa_mean,5,-0.220127190601721,-0.36757251327204166
surface_pressure_hpa_mean,6,-0.22259946997703892,-0.37776285564260265
surface_pressure_hpa_mean,7,-0.22702507635176566,-0.3779320391648995
surface_pressure_hpa_mean,8,-0.23372621306522817,-0.3742022027848839
