week_start_date,precip_sum_mm,precip_mean_daily_mm,precip_max_daily_mm,precip_min_daily_mm,rain_days,calendar_days_present,precip_days_observed,mean_valid_grid_cells,rain_day_threshold_mm,missing_precip_days,week_complete
2000-01-02,35.8358,5.1194,14.342100000000002,0.0,5.0,7,7,100.0,1.0,0,True
2000-01-09,26.1429,3.7347,8.3016,0.5887,6.0,7,7,100.0,1.0,0,True
2000-01-16,49.76469999999999,7.109242857142855,17.060999999999993,0.0458,5.0,7,7,100.0,1.0,0,True
2000-01-23,55.292899999999996,7.898985714285715,15.883200000000002,2.5269,7.0,7,7,100.0,1.0,0,True
2000-01-30,52.425399999999996,7.489342857142857,18.017500000000002,0.8598,6.0,7,7,100.0,1.0,0,True
2000-02-06,23.134299999999996,3.3048999999999995,9.7899,0.1268,5.0,7,7,100.0,1.0,0,True
2000-02-13,40.973600000000005,5.853371428571429,18.2234,0.1772,5.0,7,7,100.0,1.0,0,True
2000-02-20,93.2822,13.326028571428571,23.836900000000004,3.0871000000000004,7.0,7,7,100.0,1.0,0,True
2000-02-27,109.59779999999999,15.656828571428573,26.279400000000006,7.104699999999999,7.0,7,7,100.0,1.0,0,True
2000-03-05,85.9807,12.282957142857143,23.5881,3.8301,7.0,7,7,100.0,1.0,0,True
2000-03-12,94.28200000000001,13.468857142857145,21.3724,4.081100000000001,7.0,7,7,100.0,1.0,0,True
2000-03-19,89.748,12.821142857142858,43.4035,0.6118,6.0,7,7,100.0,1.0,0,True
2000-03-26,97.15499999999999,13.879285714285713,25.30539999999999,5.918000000000001,7.0,7,7,100.0,1.0,0,True
2000-04-02,59.7393,8.534185714285714,20.3442,1.5667000000000002,7.0,7,7,100.0,1.0,0,True
2000-04-09,77.3288,11.046971428571428,30.780299999999997,1.2338,7.0,7,7,100.0,1.0,0,True
2000-04-16,109.02490000000002,15.574985714285717,33.34780000000001,2.0105,7.0,7,7,100.0,1.0,0,True
2000-04-23,70.5543,10.079185714285714,24.105999999999998,1.4141,7.0,7,7,100.0,1.0,0,True
2000-04-30,104.5248,14.932114285714288,24.915000000000006,5.092700000000001,7.0,7,7,100.0,1.0,0,True
