date,year,month,day_of_year,ndvi_mean,ndvi_median,ndvi_std,ndvi_min,ndvi_max,valid_pixel_count,modis_image_id,days_since_previous,valid_pixel_fraction_of_max,low_valid_pixel_coverage
2000-02-18,2000,2,49,0.8265190754802241,0.8397136757213707,0.0887969493733977,-0.1998,0.9992,242792,2000_02_18,,0.19807821899949254,False
2000-03-05,2000,3,65,0.786659966854691,0.8085639634823035,0.1038336381775728,-0.1917,0.9992,203230,2000_03_05,16.0,0.1658021534781495,True
2000-03-21,2000,3,81,0.8001648845998617,0.8477001870029617,0.1415323433856781,-0.1998,0.9994,272118,2000_03_21,16.0,0.2220033971370717,False
2000-04-06,2000,4,97,0.8022674003772962,0.8477222794725956,0.1492582793853533,-0.2,0.9994,427282,2000_04_06,16.0,0.34859162398489724,False
2000-04-22,2000,4,113,0.7935674955812915,0.8399570297243613,0.1374747723767794,-0.2,0.9993,283167,2000_04_22,16.0,0.23101755840155075,False
2000-05-08,2000,5,129,0.7867129621326676,0.8320925985386286,0.1526869905749145,-0.1997,0.9995,214771,2000_05_08,16.0,0.17521770557819044,True
2000-05-24,2000,5,145,0.7895078588847585,0.839998746592977,0.1572307070509266,-0.2,0.9995,380949,2000_05_24,16.0,0.310791539464388,False
2000-06-09,2000,6,161,0.8006554128123746,0.839958127305853,0.1398805367559533,-0.2,0.9994,344529,2000_06_09,16.0,0.28107882761242614,False
2000-06-25,2000,6,177,0.8217386094792561,0.8479619767991571,0.1001455470863837,-0.2,0.9993,909419,2000_06_25,16.0,0.741935878629854,False
2000-07-11,2000,7,193,0.7991402150182485,0.8402030208815806,0.1221157434292437,-0.2,0.9993,602572,2000_07_11,16.0,0.49159934667930666,False
2000-07-27,2000,7,209,0.8152724943258564,0.8397755542049303,0.1114410953497685,-0.2,0.9993,825498,2000_07_27,16.0,0.6734701869404391,False
2000-08-12,2000,8,225,0.7997143030546893,0.839946368533894,0.1379251854517244,-0.1998,0.9994,499546,2000_08_12,16.0,0.4075471267106021,False
2000-08-28,2000,8,241,0.8203751862726087,0.8320874990691048,0.0862695751432325,-0.2,0.9979,1222202,2000_08_28,16.0,0.9971152073281566,False
2000-09-13,2000,9,257,0.8164185261703245,0.8398366844596717,0.1120406395498043,-0.2,0.9993,720739,2000_09_13,16.0,0.5880041248619199,False
2000-09-29,2000,9,273,0.823008795730251,0.8321090334456279,0.0893818995972442,-0.2,0.9994,1070697,2000_09_29,16.0,0.8735121208610649,False
2000-10-15,2000,10,289,0.8229548388016283,0.8479338117989315,0.0967164245199574,-0.2,0.9994,904273,2000_10_15,16.0,0.7377375915570864,False
2000-10-31,2000,10,305,0.8392048444117237,0.8633838306447805,0.1117437062643236,-0.2,0.9995,750312,2000_10_31,16.0,0.6121308142523116,False
2000-11-16,2000,11,321,0.8259898321673864,0.8632156241894098,0.1259314572499673,-0.1997,0.9995,226606,2000_11_16,16.0,0.1848731131775306,False
2000-12-02,2000,12,337,0.8353124269948246,0.8475853590714235,0.0988751061632764,-0.2,0.9991,1210378,2000_12_02,16.0,0.9874687739141643,False
2000-12-18,2000,12,353,0.837521117795417,0.8711652336121739,0.1223810994955607,-0.2,0.9994,637203,2000_12_18,16.0,0.5198525296596825,False
2001-01-01,2001,1,1,0.8292570280972313,0.8556915972675694,0.0982813296260394,-0.2,0.9995,702339,2001_01_01,14.0,0.5729927602799293,False
2001-01-17,2001,1,17,0.8124750316436182,0.8241122287921728,0.0820738818433241,-0.2,0.9989,711307,2001_01_17,16.0,0.5803091688435865,False
2001-02-02,2001,2,33,0.8307545243348898,0.831898330103375,0.080485917653648,-0.1983,0.9991,764914,2001_02_02,16.0,0.6240436373841718,False
2001-02-18,2001,2,49,0.8083216865271858,0.8322105976428552,0.1186523489945425,-0.1998,0.9995,449457,2001_02_18,16.0,0.36668276581129083,False
2001-03-06,2001,3,65,0.795149858645346,0.8164584084271381,0.1116844416126721,-0.2,0.999,978258,2001_03_06,16.0,0.7980971463722264,False
2001-03-22,2001,3,81,0.8122476752754421,0.8400340000923685,0.1296595354732201,-0.2,0.9992,553712,2001_03_22,16.0,0.4517376470338686,False
2001-04-07,2001,4,97,0.8169888844403939,0.8399601640117902,0.1150229738066455,-0.2,0.9994,900824,2001_04_07,16.0,0.7349237765329948,False
2001-04-23,2001,4,113,0.8408955807326706,0.8554244235368635,0.0874650500866849,-0.1997,0.9994,891109,2001_04_23,16.0,0.7269979392007101,False
2001-05-09,2001,5,129,0.8019748168726271,0.8555505347501559,0.1571256512769036,-0.2,0.9995,374609,2001_05_09,16.0,0.30561914536385426,False
2001-05-25,2001,5,145,0.826732360083991,0.8555155980636213,0.1040526649428648,-0.2,0.9994,902746,2001_05_25,16.0,0.7364918114637875,False
2001-06-10,2001,6,161,0.7952246452279155,0.8553827931950869,0.1864574464787777,-0.2,0.9994,230789,2001_06_10,16.0,0.18828575111483858,False
2001-06-26,2001,6,177,0.8140067205557912,0.8477014884813163,0.1132684926464151,-0.2,0.9993,696789,2001_06_26,16.0,0.5684648758543832,False
2001-07-12,2001,7,193,0.8293301678158189,0.8477430258224405,0.0981990413322221,-0.2,0.9994,976877,2001_07_12,16.0,0.7969704781935454,False
2001-07-28,2001,7,209,0.8406918899590518,0.8554633785912942,0.0853279696516025,-0.2,0.9993,1104895,2001_07_28,16.0,0.901412047272745,False
2001-08-13,2001,8,225,0.8307573646110238,0.847633209914435,0.0954176416995851,-0.2,0.9988,1197677,2001_08_13,16.0,0.9771068531774327,False
2001-08-29,2001,8,241,0.8507263957714777,0.8710903623293151,0.0900730360384031,-0.2,0.999,1208780,2001_08_29,16.0,0.9861650695336197,False
2001-09-14,2001,9,257,0.8348524406056231,0.8476908603686387,0.0922455138961231,-0.1997,0.9994,1098939,2001_09_14,16.0,0.8965529338243572,False
2001-09-30,2001,9,273,0.8307376858113044,0.8398051550349227,0.0903583663632333,-0.2,0.9992,1210940,2001_09_30,16.0,0.9879272732019404,False
